"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"BATTERY";"S2B-XH-A(LF)(SN)";"S2B-XH-A(LF)(SN)";"JST_S2B-XH-A(LF)(SN)";"XH Series 2.5mm 2 Position Through Hole Shrouded Header Connector";"";" Connector Header Through Hole, Right Angle 2 position 0.098 _2.50mm_ ";"455-2257-ND";"https://www.digikey.com/product-detail/en/jst-sales-america-inc/S2B-XH-A_LF__SN_/455-2257-ND/1651055?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"JST Sales";"";"";"S2B-XH-A_LF__SN_";"";"";"";"None";"";"";"";"";"";
"C1";"100 nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"C4";"22 pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"C5";"22 pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"C6";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"C7";"100 nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"C12";"0.33uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"CAN1";"S2B-XH-A(LF)(SN)";"S2B-XH-A(LF)(SN)";"JST_S2B-XH-A(LF)(SN)";"XH Series 2.5mm 2 Position Through Hole Shrouded Header Connector";"";" Connector Header Through Hole, Right Angle 2 position 0.098 _2.50mm_ ";"455-2257-ND";"https://www.digikey.com/product-detail/en/jst-sales-america-inc/S2B-XH-A_LF__SN_/455-2257-ND/1651055?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"JST Sales";"";"";"S2B-XH-A_LF__SN_";"";"";"";"None";"";"";"";"";"";
"CAN_TR1";"120";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";
"COUT2";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"C";
"DRIVER";"S4B-XH-A(LF)(SN)";"S4B-XH-A(LF)(SN)";"S4B-XH-A(LF)(SN)";"http://octopart.com/s4b-xh-a%28lf%29%28sn%29-jst-7995347";"Unavailable";" Connector Header Through Hole, Right Angle 4 position 0.098 _2.50mm_ ";"";"";"";"";"";"JST Sales";"";"";"S4B-XH-A_LF__SN_";"";"";"";"None";"";"None";"";"";"";
